Date,Team,Opponent,Home
Wed. 26 Apr.,Arsenal,Leicester City,1
Wed. 26 Apr.,Leicester City,Arsenal,0
Wed. 26 Apr.,Middlesbrough,Sunderland,1
Wed. 26 Apr.,Sunderland,Middlesbrough,0
Wed. 26 Apr.,Crystal Palace,Tottenham,1
Wed. 26 Apr.,Tottenham,Crystal Palace,0
Thu. 27 Apr.,Manchester City,Manchester Utd,1
Thu. 27 Apr.,Manchester Utd,Manchester City,0
Sat. 29 Apr.,Southampton,Hull City,1
Sat. 29 Apr.,Hull City,Southampton,0
Sat. 29 Apr.,Stoke City,West Ham Utd,1
Sat. 29 Apr.,West Ham Utd,Stoke City,0
Sat. 29 Apr.,West Bromwich,Leicester City,1
Sat. 29 Apr.,Leicester City,West Bromwich,0
Sat. 29 Apr.,Sunderland,Bournemouth,1
Sat. 29 Apr.,Bournemouth,Sunderland,0
Sat. 29 Apr.,Crystal Palace,Burnley,1
Sat. 29 Apr.,Burnley,Crystal Palace,0
Sun. 30 Apr.,Manchester Utd,Swansea City,1
Sun. 30 Apr.,Swansea City,Manchester Utd,0
Sun. 30 Apr.,Everton,Chelsea,1
Sun. 30 Apr.,Chelsea,Everton,0
Sun. 30 Apr.,Middlesbrough,Manchester City,1
Sun. 30 Apr.,Manchester City,Middlesbrough,0
Sun. 30 Apr.,Tottenham,Arsenal,1
Sun. 30 Apr.,Arsenal,Tottenham,0
Mon. 1 May.,Watford,Liverpool,1
Mon. 1 May.,Liverpool,Watford,0
Sat. 6 May.,Liverpool,Southampton,1
Sat. 6 May.,Southampton,Liverpool,0
Sat. 6 May.,Swansea City,Everton,1
Sat. 6 May.,Everton,Swansea City,0
Sat. 6 May.,Bournemouth,Stoke City,1
Sat. 6 May.,Stoke City,Bournemouth,0
Sat. 6 May.,Arsenal,Manchester Utd,1
Sat. 6 May.,Manchester Utd,Arsenal,0
Sat. 6 May.,Leicester City,Watford,1
Sat. 6 May.,Watford,Leicester City,0
Sat. 6 May.,Hull City,Sunderland,1
Sat. 6 May.,Sunderland,Hull City,0
Sat. 6 May.,Chelsea,Middlesbrough,1
Sat. 6 May.,Middlesbrough,Chelsea,0
Sat. 6 May.,West Ham Utd,Tottenham,1
Sat. 6 May.,Tottenham,West Ham Utd,0
Sat. 6 May.,Burnley,West Bromwich,1
Sat. 6 May.,West Bromwich,Burnley,0
Sat. 6 May.,Manchester City,Crystal Palace,1
Sat. 6 May.,Crystal Palace,Manchester City,0
Sat. 13 May.,Tottenham,Manchester Utd,1
Sat. 13 May.,Manchester Utd,Tottenham,0
Sat. 13 May.,Middlesbrough,Southampton,1
Sat. 13 May.,Southampton,Middlesbrough,0
Sat. 13 May.,Manchester City,Leicester City,1
Sat. 13 May.,Leicester City,Manchester City,0
Sat. 13 May.,West Ham Utd,Liverpool,1
Sat. 13 May.,Liverpool,West Ham Utd,0
Sat. 13 May.,Everton,Watford,1
Sat. 13 May.,Watford,Everton,0
Sat. 13 May.,Crystal Palace,Hull City,1
Sat. 13 May.,Hull City,Crystal Palace,0
Sat. 13 May.,Bournemouth,Burnley,1
Sat. 13 May.,Burnley,Bournemouth,0
Sat. 13 May.,Sunderland,Swansea City,1
Sat. 13 May.,Swansea City,Sunderland,0
Sat. 13 May.,Stoke City,Arsenal,1
Sat. 13 May.,Arsenal,Stoke City,0
