"date","home_team","away_team","home_prob","draw_prob","away_prob","mode_home","mode_away","mode_prob","over_prob","under_prob","home_CS","away_CS"
"Sun. 9 Apr.","Everton","Leicester City",0.727593052125676,0.166747319334526,0.10561970247633,2,0,0.119193330288406,0.613343438602523,0.386656561397477,0.454687501810711,0.0925753421367344
"Mon. 10 Apr.","Crystal Palace","Arsenal",0.230066411880759,0.208791713241208,0.561128621138036,1,2,0.0959146692359784,0.658430252937945,0.341569747062055,0.12214143137391,0.275830176839612
"Sat. 15 Apr.","Tottenham","Bournemouth",0.838015408143596,0.108823481562806,0.0528831732432592,2,0,0.117439578649871,0.703187362122485,0.296812637877515,0.520897768531526,0.0506991933567196
"Sat. 15 Apr.","Stoke City","Hull City",0.617322290122326,0.223744974712238,0.158929204735316,1,0,0.132631908715428,0.48682973278631,0.51317026721369,0.450505585777132,0.161440329944366
"Sat. 15 Apr.","Sunderland","West Ham Utd",0.334723570072699,0.253565916930717,0.411709931226398,1,1,0.119890046965882,0.522357884382218,0.477642115617782,0.230519623328056,0.272969263679683
"Sat. 15 Apr.","Crystal Palace","Leicester City",0.48821995069673,0.236635212775245,0.2751426201698,1,1,0.110114694077872,0.569934448265451,0.430065551734549,0.288990477994275,0.177620294803056
"Sat. 15 Apr.","Everton","Burnley",0.673975485413904,0.203546212494905,0.122471291375234,1,0,0.137854203754276,0.495601777789579,0.504398222210421,0.500165367623734,0.140372642316294
"Sat. 15 Apr.","Watford","Swansea City",0.534660601084595,0.21498502297391,0.250345039508222,2,1,0.0951971509674589,0.650821799106782,0.349178200893218,0.264456940053742,0.132458429083508
"Sat. 15 Apr.","Southampton","Manchester City",0.265283436164197,0.257141966088539,0.477573968487691,1,1,0.12224952282445,0.475699088194754,0.524300911805246,0.219590918223699,0.346218101821847
"Sun. 16 Apr.","West Bromwich","Liverpool",0.296224983126671,0.236751355166923,0.467021573700385,1,1,0.109095974983395,0.583128138263338,0.416871861736662,0.180808403804754,0.267664743817989
"Sun. 16 Apr.","Manchester Utd","Chelsea",0.293362965663075,0.306846730022362,0.39979027518719,0,1,0.14958933966859,0.32168320918505,0.67831679081495,0.333322247686737,0.408487463483509
"Mon. 17 Apr.","Middlesbrough","Arsenal",0.192159676162715,0.27200660643534,0.535833386336476,0,1,0.16516855049927,0.364747202740106,0.635252797259894,0.241067640275742,0.481594775472242
"Sat. 22 Apr.","Manchester City","West Bromwich",0.646748486239354,0.203863777179357,0.149378147240497,2,0,0.114835078752596,0.551395233753445,0.448604766246555,0.424361135763479,0.131146230154531
"Sat. 22 Apr.","West Ham Utd","Everton",0.249467943051655,0.224760853740512,0.525766323990487,1,1,0.102815539188645,0.603064791408368,0.396935208591632,0.151886915902505,0.290838776794751
"Sat. 22 Apr.","Bournemouth","Middlesbrough",0.494574848926652,0.281641341973638,0.22378362142151,1,0,0.157263094005261,0.362148641026351,0.637851358973649,0.448384169966347,0.261433883880594
